courses,waec,utme
accountancy,nan,nan
architecture,nan,nan
biochemistry,eng math chem bio phy,eng bio chem phy/math
business administration,nan,nan
estate management,nan,nan
civil engineering,eng math chem phy any_sc,eng chem phy math
chemical engineering,nan,nan
computer engineering,nan,nan
computer science,eng math phy any_sc any_sc,eng math phy bio/chem/agric/econs/geo
electrical engineering,eng math chem phy any_sc,eng chem phy math
law,nan,nan
marketing,nan,nan
medicine and surgery,nan,nan
mass communication,nan,nan
nursing,nan,nan
pharmacy,nan,nan
theatre arts,nan,nan
