courses,waec,utme
accountancy,eng math econs any2(geo-bio/agric-accnt-govt),eng math econs geo/bio/agric/accnt/govt
architecture,eng math phy any2(econs-chem-td-fn-geo),eng math phy chem/geo/td
biochemistry,eng math phy chem bio/agric,eng math/phy chem bio/agric
business administration,eng math econs any2(chem-phy-agric/bio-accnt-geo-govt),eng math econs accnt/geo/govt
estate management,eng math econs any2(chem-phy-agric/bio-fn-td),eng math econs accnt/geo/govt
civil engineering,eng math chem phy any_science,eng math phy chem
chemical engineering,nan,nan
computer engineering,eng math chem phy any_science,eng math phy chem
computer science,eng math chem phy bio/agric,eng math phy chem
electrical engineering,eng math chem phy any_science,eng math phy chem
law,nan,nan
marketing,nan,nan
medicine and surgery,nan,nan
mass communication,nan,nan
nursing,nan,nan
pharmacy,nan,nan
theatre arts,nan,nan
