courses,waec,utme
accountancy,nan,nan
architecture,nan,nan
biochemistry,math eng phy chem bio,eng bio chem phy
business administration,nan,nan
estate management,eng math geo any2(phy-chem-bio-td-fn),eng math geo phy/chem/bio
civil engineering,eng math phy chem bio/agric/furmath/td/econs/geo,eng math phy chem
chemical engineering,eng math phy chem bio/agric/furmath/td/econs/geo,eng math phy chem
computer engineering,nan,nan
computer science,eng math phy chem any_science,eng math phy chem
electrical engineering,eng math phy chem bio/agric/furmath/td/econs/geo,eng math phy chem
law,eng lit_in_eng any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc,eng lit_in_eng any_art/any_soc_sc any_art/any_soc_sc
marketing,nan,nan
medicine and surgery,math eng phy chem bio,eng bio chem phy
mass communication,nan,nan
nursing,math eng phy chem bio,eng bio chem phy
pharmacy,math eng phy chem bio,eng bio chem phy
theatre arts,eng lit_in_eng any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc,eng lit_in_eng any_art/any_soc_sc any_art/any_soc_sc
