courses,waec,utme
accountancy,eng math econs any2(bm-lit_in_eng-dp-cs),eng math econs facc
architecture,eng math phy fn/td econs/chem/geo/bio/p&d/bc,eng math phy econs/chem/geo/bio/fn
biochemistry,nan,nan
business administration,eng math econs any1 any1, eng math econs any1
estate management,eng math econs chem/phy bio/geo/agric/td/fn/facc,eng math econs chem/phy/bio/geo/facc
civil engineering,furmath math eng chem phy,eng math phy chem
chemical engineering,furmath math eng chem phy,eng math phy chem
computer engineering,furmath math eng chem phy,eng math phy chem
computer science,furmath math eng chem/bio phy,eng math phy chem/bio
electrical engineering,furmath math eng chem phy,eng math phy chem
law,eng math lit_in_eng any1 any1,eng any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc
marketing,nan,nan
medicine and surgery,math eng phy chem bio,eng bio chem phy
mass communication,eng lit_in_eng maths econs gov,eng govt lit_in_eng econs/his
nursing,nan,nan
pharmacy,math eng phy chem bio,eng bio chem phy
theatre arts,eng math lit-in-eng any_art any,eng fn/lit_in_eng/music any_art any_science/any_soc_sc
