courses,waec,utme
accountancy,eng math accnt any2(chem-phy-lit_in_eng-geo-bio/agric-i=his/govt-econs/comm),eng math any2(geo-comm-govt-accnt-econs)
architecture,eng math phy any2(bio-chem-his-geo-fur_math-econs-td),eng math any2(phy-chem-td)
biochemistry,nan,nan
business administration,eng math accnt any2(lit_in_eng-geo-econs/comm-bio/agric-chem-phy-accnt-his/govt),eng math any2(geo-comm-govt-accnt-econs)
estate management,nan,nan
civil engineering,math phy chem any2(bio/agric-td-fur_math-geo-econs/comm-eng),eng math phy chem
chemical engineering,nan,nan
computer engineering,math phy chem any2(bio/agric-td-fur_math-geo-econs/comm-eng),eng math phy chem
computer science,math bs eng any2(chem-phy-econs-govt/his-bio/agric-fur_math),eng math any2(geo-econs-chem)
electrical engineering,math phy chem any2(bio/agric-td-fur_math-geo-econs/comm-eng),eng math phy chem
law,nan,nan
marketing,eng math accnt any2(econs/comm-lit_in_eng-geo-chem-phy-bio/agric-his/govt),eng math any2(geo-comm-govt-accnt-econs)
medicine and surgery,nan,nan
mass communication,nan,nan
nursing,nan,nan
pharmacy,nan,nan
theatre arts,nan,nan
