courses,waec,utme
accountancy,eng math any1 any1 any1,eng math any2(geo-comm-govt-accnt-econs)
architecture,eng math phy any2(bio-fa-chem-his-geo-fur_math-econs/commerce-td-bm),eng math any2(phy-chem-td)
biochemistry,nan,nan
business administration,eng math econs/commerce any2(accnt-lit_in_eng-bio/agric-chem-his/geo-bm),eng math any2(geo-comm-govt-accnt-econs)
estate management,math eng any_sc any2(geo-econs/commerce-phy-bio-chem-td-fa-ww-lit_in_eng-accnt-govt),eng math any2(econs-phy-chem-bio)
civil engineering,math chem phy eng any_sc,eng chem phy math
chemical engineering,math chem phy eng any_sc,eng math chem phy
computer engineering,math chem phy eng any_sc,eng math chem phy
computer science,eng math any_sc any_sc,eng math any2(phy-chem-agric-econs-geo)
electrical engineering,eng math chem phy any_sc,eng math chem phy
law,nan,nan
marketing,eng math econs/comm any2(bm-accnt-lit_in_eng-geo-bio/agric-chem-phyhis/govt),eng math any2(geo-comm-govt-accnt-econs)
medicine and surgery,nan,nan
mass communication,eng math govt any2(his-lit_in_eng-econs/comm-fa-bio-phy-chem-geo-accnt),eng any1 any1 any1
nursing,nan,nan
pharmacy,nan,nan
theatre arts,nan,nan
