courses,waec,utme
accountancy,eng math econs any2(accnt-govt/civic-comm-bio/agric-geo-lit_in_eng),eng math econs accnt/govt/comm
architecture,eng math phy any2(chem-bio-econs/comm-geo-fur_math-td-fn),eng math phy any1(chem-econs-td-fa-geo)
biochemistry,nan,nan
business administration,eng math econs any2(accnt-comm-geo-lit_in_eng-govt/his-bio/agric-chem/phy/fn-civic),eng math econs any1(accnt-comm-geo-lit_in_eng-govt-his-bio-agric/chem-phy-fn-civic)
estate management,eng math econs phy/chem/bio/agric geo/td/fn/lit_in_eng/accnt,eng math econs bio/chem/phy/agric
civil engineering,eng math phy chem ben/bio/agric/econs/geo/td/fur_math,eng math phy chem
chemical engineering,eng math phy chem stat/ben/bio/agric/econs/geo/td/fur_math,eng math phy chem
computer engineering,eng math phy chem stat/bio/agric/econs/geo/td/fur_math,eng math phy chem
computer science,eng math phy chem comp/bio/econs/geo/fur_math,eng math phy chem
electrical engineering,eng math phy chem bio/econs/be/ben/td/fur_math,eng math phy chem
law,nan,nan
marketing,eng math econs/comm any2(accnt-govt/his-geo-bio/chem/phy/agric-lit_in_eng-civic),eng math econs/comm any1(accnt-govt)
medicine and surgery,nan,nan
mass communication,eng math lit_in_eng any2(govt-econs/comm-his-geo-yor/hausa/igbo-fn-bio-phy-chem-agric-accnt-civic),eng lit_in_eng econs govt
nursing,nan,nan
pharmacy,nan,nan
theatre arts,nan,nan
