courses,waec,utme
accountancy,eng math accnt/comm/bm any1 any1,eng math accnt/bm any_soc_sc
architecture,nan,nan
biochemistry,eng math phy chem bio,eng bio chem phy/math
business administration,eng math accnt/comm/bm any1 any1,eng math accnt/bm any_soc_sc
estate management,nan,nan
civil engineering,eng math chem phy any_sc,eng chem phy math
chemical engineering,nan,nan
computer engineering,nan,nan
computer science,eng math phy any_sc any_sc,eng math phy bio/chem/agric/econs/geo
electrical engineering,eng math chem phy any_sc,eng chem phy math
law,eng lit_in_eng math any1 any1,eng lit_in_eng any_art/any_soc_sc any_art/any_soc_sc
marketing,nan,nan
medicine and surgery,nan,nan
mass communication,eng lit_in_eng any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc,eng lit_in_eng any_art/any_soc_sc any_art/any_soc_sc
nursing,eng math phy chem bio,eng bio chem phy
pharmacy,nan,nan
theatre arts,nan,nan
