courses,waec,utme
accountancy,eng math accnt/comm/bm any1 any1,eng math accnt/bm any_soc_sc
architecture,eng math phy chem any1,eng math phy chem/geo/bio/econs
biochemistry,eng math phy chem bio,eng chem bio phy/math
business administration,eng math econs any2(accnt-bm-comm-govt-geo-stat),eng math econs any1
estate management,chem math eng any1 any1,eng math econs any1
civil engineering,eng math chem phy any_sc,eng chem phy math
chemical engineering,eng math chem phy any_sc,eng chem phy math
computer engineering,eng math fur_math phy chem,eng phy chem math
computer science,eng math phy any_sc any_sc,eng math phy bio/chem/agric/econs/geo
electrical engineering,eng math chem phy any_sc,eng chem phy math
law,nan,nan
marketing,eng math any1 any1 any1,eng math econs any1
medicine and surgery,nan,nan
mass communication,nan,nan
nursing,nan,nan
pharmacy,nan,nan
theatre arts,nan,nan
