courses,waec,utme
accountancy,eng math econs any1 any1,eng math econs any_soc_sc
architecture,eng math phy chem any1,eng phy math chem/geo/arts/bio/econs
biochemistry,eng math chem bio phy,eng bio chem phy
business administration,eng math econs any2(accnt-buss_meth-comm-govt-geo-stat),eng math econs any1
estate management,nan,nan
civil engineering,eng math chem bio phy,eng chem phy math
chemical engineering,eng math phy chem any_sc,eng math phy chem
computer engineering,eng math phy chem fur_math,eng math phy chem
computer science,eng math phy any_sc any_sc,math eng phy bio/geo/chem/agric/econs
electrical engineering,eng math chem bio any_sc,eng chem phy math
law,nan,nan
marketing,eng math any1 any1 any1,eng math econs any1
medicine and surgery,eng math phy chem bio,eng phy chem bio
mass communication,nan,nan
nursing,eng math phy chem bio,eng phy chem bio
pharmacy,nan,nan
theatre arts,nan,nan
