courses,waec,utme
accountancy,eng math econs any1 any1,eng math econs any_soc_sc
architecture,nan,nan
biochemistry,eng math chem bio phy,eng bio chem phy/math
business administration,eng math any2(accnt-buss_meth-comm-govt-geo-stat),eng math econs any1
estate management,nan,nan
civil engineering,eng math chem phy any_sc,eng chem phy math
chemical engineering,nan,nan
computer engineering,eng math fur_math phy chem,eng math phy chem
computer science,eng math phy any_sc any_sc,eng math phy bio/chem/agric/econs/geo
electrical engineering,eng math chem phy any_sc,eng chem phy math
law,nan,nan
marketing,nan,nan
medicine and surgery,eng math phy chem bio,eng phy chem bio
mass communication,eng any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc,eng any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc
nursing,eng math phy chem bio,eng phy chem bio
pharmacy,eng math phy chem bio,eng phy chem bio
theatre arts,eng any_art any_art any_art any_art,eng lit_in_eng any_art any_art
