courses,funaab,futa,oau,ui,unilag,aaua,eksu,lasu,lautech,oou,abuad,aue,babcock,bowen,covenant,ede,ibadan,ilaro,laspotech,yaba
accountancy,,62,68,,65,56,52,58,60,58,50,45,50,48,54,52,50,48,48,50
architecture,,56,65,,60,52,,,54,,46,,,46,50,50,48,46,49,48
biochemistry,63,58,60,62,,58,50,56,56,55,52,53,52,52,56,,,,,
business administration,,52,56,,54,48,52,54,54,50,44,45,52,48,48,46,46,47,48,44
estate management,,54,,58,60,60,,,,,,,,,52,,50,46,48,50
civil engineering,65,63,67,66,64,62,56,62,62,56,53,52,,,58,52,50,48,48,51
chemical engineering,,,68,68,70,,64,64,,54,,,,58,,,,,50,52
computer engineering,,65,66,,62,,56,60,62,56,52,,,,56,54,50,50,51,50
computer science,62,60,64,65,64,57,54,58,60,54,44,40,45,46,50,46,46,47,46,47
electrical engineering,68,65,70,72,66,62,57,66,62,52,48,54,,54,,52,52,50,50,52
law,,,72,70,68,63,66,66,,,54,50,55,56,,,,,,
marketing,,,,,,50,53,60,56,,40,,,,48,42,48,44,45,45 
medicine and surgery,,,76,78,75,,64,70,70,66,60,,58,56,,,,,,
mass communication,,,,,60,55,,56,,57,43,47,44,45,,,47,45,45,46
nursing,,,68,65,65,,60,60,62,60,55,52,54,54,,,,,,
pharmacy,,,74,74,70,,,,,68,56,,,,,,,,,
theatre arts,,,60,54,52,,54,55,,57,45,,,43,,,,,,
