subjects,abbreviation
commerce,comm
financial accounting,accnt
christian religious studies,crs
economics,econs
geography,geo
government,govt
history,his
islamic studies,irs
literature in english,lit_in_eng
civic education,civic
english,eng
hausa,hausa
igbo,igbo
yoruba,yor
further mathematics,fur_math
mathematics,math
agricultural science,agric
biology,bio
chemistry,chem
physics,phy
health education,he
building construction,bc
technical drawing,td
basic electricity,be
basic electronics,ben
foods and nutrition,f&n
fine art,fn
basic science,bs
computer studies,comp
statistics,stat
business studies,bus 
